IATTC Vessel number,Register Status,Vessel,Flag,Gear,Fish hold volume (m3),Confirmation date,Carrying capacity (t),Port of registration,Registration number,IMO number,Call sign,Length (m),Length type,Beam (m),Depth (m),Gross tonnage (t),Engine power (HP),Year built,Shipyard,Company name,Business Address,Previous name,Previous flag,Notes,Image available?,Last modification
18899,,Kim Thu,United States,Longline,,,,,917018,,WDN7263,,Type of Length Unknown,,,,,,,,,,,   ,No,25 Sep 2023
7387,,Kimmy I,United States,Longline,27,,21,Honolulu,929589,8885729,WCB4766,23.92,Length Overall,7.4,3.2,145,700,1988,Bac Tran,,"2929 Ala Ilima Street #1202, Honolulu, HI 96818, United States",,,   ,Yes,09 Feb 2016
13742,,Lady Alice,United States,Longline,,,90,Barnegat Light,594346,7828839,WTC4765,25.6,Length Overall,7.37,2.86,145,850,1978,,Lady Alice Company Incorporated,"P.O. Box 546, Barnegat Light, NJ 08006-0546, United States",,,   ,No,30 Oct 2014
7339,,Lady Ann Margaret,United States,Longline,20,,16,Honolulu,910974,,WDF3424,21.64,Length Overall,6.7,2.59,80,450,1987,Fred Falgout,Lady Ann Margaret Incorporated,"1415 Punahou Street #301, Honolulu, HI 96822, United States",,,   ,Yes,09 Feb 2016
11143,,Lady Anna,United States,Longline,,,14,Los Angeles,943337,8885547,WDD4295,23.77,Length Overall,7.31,3.04,113,700,1989,Dam Van Nguyen,Lady Anna Corporation,"621 Hermosa Way, Oxnard, CA 93036, United States",Sunflower III - Change to Lady Anna notified on 29 Jun 2009 (recorded on 24 Sep 2009) - Flag at time of change: United States,,   ,No,24 Sep 2009
12395,,Lady Annie,United States,Longline,,,10,Honolulu,913939,8886010,WDF7010,22.25,Length Overall,6.7,2.89,93,430,1987,Byveiet,PW Annie Fishing Incorporated,"1114 Wilder Avenue #604, Honolulu, HI 96822, United States",Adramyttium - Change to Lady Annie notified on 03 Jul 2012 (recorded on 25 Sep 2012) - Flag at time of change: United States,,   ,Yes,22 Jan 2015
7321,,Lady Betty,United States,Longline,72,,10,Honolulu,682407,,WCQ4711,18.89,Length Overall,6.09,2.31,59,300,1985,Vana Ba Van,RBKL Incorporated,"501 N Nimitz Highway Pier 19, Honolulu, HI 96817-5928, United States",Brandi - Change to Lady Betty notified on 29 Jun 2009 (recorded on 24 Sep 2009) - Flag at time of change: United States,,   ,No,30 Oct 2014
13743,,Lady Christine I,United States,Longline,,,25,Honolulu,1139848,8986688,WDE5097,25.17,Length Overall,7.62,3.65,177,625,2003,Ocean Marine Incorporated,Christine Tran Incorporated,"215 N. King Street Apt. 2003, Honolulu, HI 96817-6709, United States",,,   ,No,24 Sep 2009
12392,,Lady Cindy,United States,Longline,,,12,Honolulu,1135654,,WDJ6880,20.72,Length Overall,6.09,2.43,65,475,2002,Tam T Nguyen,B & J Fishery LLC,"1612 Leilani Street, Unit 272, Honolulu, HI 96819-4218, United States",Holly - Change to Lady Cindy notified on 27 Feb 2023 (recorded on 21 Mar 2023) - Flag at time of change: United States,,   ,Yes,21 Mar 2023
15829,,Lady Cindy II,United States,Longline,,,16,Honolulu,551566,,WDG6356,22.4,Length Overall,6.4,3.38,102,402,1973,,"L & L Fishery, LLC","7461 Makaa St, Honolulu, HI 96825-3125, United States",Commander - Change to Lady Cindy II notified on 25 Sep 2024 (recorded on 30 Sep 2024) - Flag at time of change: United States,,   ,No,30 Sep 2024
13737,,Lady En,United States,Longline,,,12,Honolulu,615433,,WDE6871,17.83,Length Overall,5.79,2.74,75,400,1979,Ronald K Tegland,"Virginia Creeper, LLC","350 Ward Avenue Suite 106-335, Honolulu, HI 96814-4010, United States",Jenny - Change to Lady En notified on 20 Feb 2024 (recorded on 26 Feb 2024) - Flag at time of change: United States,,   ,No,26 Feb 2024
15916,,Lady Hope,United States,Longline,,,16,Honolulu,545581,,WDH7134,23.46,Length Registered,6.82,3.38,122,540,1973,,"King Charles Fishery, LLC","504 N Nimitz Highway, Honolulu, HI 96817-5030, United States",Lady Pauline - Change to Lady Hope notified on 27 Feb 2023 (recorded on 21 Mar 2023) - Flag at time of change: United States,,   ,No,21 Mar 2023
13729,,Lady J3,United States,Longline,,,10,Honolulu,909004,8853130,WDF8205,21.33,Length Overall,6.7,3.26,96,405,1987,Master Boat Builders Incorporated,"Nguyen J3, LLC","P.O. Box 148, Aiea, HI 96701-0148, United States",Dasher II - Change to Lady J3 notified on 03 Jul 2012 (recorded on 25 Sep 2012) - Flag at time of change: United States,,   ,No,20 Sep 2009
7361,,Lady Karen,United States,Longline,53,,21,Honolulu,1089736,8958459,WDI5313,22.73,Length Overall,7.31,3.81,135,540,1999,Master Boat Builders Incorporated,Dong Anh LLC,"2022 Aupuni Street B, Honolulu, HI 96817, United States",Lady Kathy - Change to Lady Karen notified on 27 Feb 2023 (recorded on 21 Mar 2023) - Flag at time of change: United States,,   ,Yes,21 Mar 2023
7351,,Lady Luck,United States,Longline,93,,35,Biloxi,905580,8706569,WDC8672,22.18,Length Overall,6.7,3.35,118,540,1986,Steiner Shipyard Incorporated,,"2218 Aupuni Street, Honolulu, HI 96817, United States",Venturer I - Change to Lady Luck notified on 08 Jun 2007 (recorded on 17 Jan 2008) - Flag at time of change: United States,,   ,No,09 Feb 2016
7349,,Lady Maria,United States,Longline,27,,16,Honolulu,512767,7050793,WDM6201,22.25,Length Registered,6.7,3.65,118,550,1968,Master Marine Incorporated,,"99-235 Aiea Heights Drive, Aiea, HI 96701, United States",Quynh Vy - Change to Lady Maria notified on 27 Feb 2023 (recorded on 21 Mar 2023) - Flag at time of change: United States,,   ,No,21 Mar 2023
15832,,Lady Mocha I,United States,Longline,,,9,Honolulu,697292,,WDG9696,20.11,Length Overall,6.4,2.13,59,402,1986,,,"504 N Nimitz Highway, Honolulu, HI 96817-5030, United States",,,   ,No,09 Feb 2016
16136,,Lady Mocha II,United States,Longline,,,14,Honolulu,577621,,WDH6867,17.37,Length Registered,5.76,2.22,56,400,1976,,,"504 N Nimitz Highway, Honolulu, HI 96817-5030, United States",,,   ,No,09 Feb 2016
15831,,Lady of the Sea,United States,Longline,,,12,Honolulu,909535,,WDG8406,20.72,Length Overall,6.09,2.13,57,425,1987,,"Nuong Nguyen Fishery, LLC","94-1030 Hohola Street, Waipahu, HI 96797, United States",,,   ,No,30 Oct 2014
13751,,Lady of the Sea II,United States,Longline,,,11,Honolulu,910809,,WDF5877,20.72,Length Overall,6.7,2.16,64,365,1987,Russell Portier Boat Building,"Ocean Pearl, LLC and Pacific Fishing & Supply Inco","116 B Meleana Place, Honolulu, HI 96817, United States",Ocean Swell - Change to Lady of the Sea II notified on 08 May 2017 (recorded on 23 May 2017) - Flag at time of change: United States,,   ,No,23 May 2017
16367,,Lanikai,United States,Longline,,,,Honolulu,1029712,8990897,WDJ2257,23.16,Length Overall,7.01,3.35,116,,1995,,"Twin Nguyen Fishery, LLC","504 N Nimitz Highway, Honolulu, HI 96817-5030, United States",,,   ,No,23 May 2017
8435,,Laura Ann,United States,Longline,102,,49,Honolulu,672662,8225137,WDH6391,21.03,Length Overall,7.68,3.13,114,750,1984,Patti Shipyard Incorporated,"Laura Ann Fisheries, LLC","P.O. Box 11324, Honolulu, HI 96828, United States",,,   ,Yes,09 Feb 2016
15070,,Libra,United States,Longline,,,12,Honolulu,568649,,WDM9901,15.11,Length Overall,5.79,3.07,65,365,1975,,"Libra Delta, LLC","628 Honua Street, Honolulu, HI 96816-4904, United States",,,   ,No,25 Sep 2023
15830,,Lucky Lady,United States,Longline,,,16,Honolulu,616365,,WDG8533,21,Length Overall,6.46,3.29,105,540,1980,,TC Fishery LLC,"1114 1st Avenue, Honolulu, HI 96816-5802, United States",Lady Karen II - Change to Lucky Lady notified on 27 Feb 2023 (recorded on 21 Mar 2023) - Flag at time of change: United States,,   ,No,21 Mar 2023
15705,,Lucky TJ,United States,Longline,,,36,Garibaldi,570715,,WDH4162,21.64,Length Overall,6.7,3.35,131,400,1976,,,"1135 N. Nimitz Highway, Honolulu, HI 96817, United States",Debra Ann - Change to Lucky TJ notified on 27 Feb 2023 (recorded on 21 Mar 2023) - Flag at time of change: United States,,   ,No,21 Mar 2023
12405,,Mariah,United States,Longline,,,49,Honolulu,952622,8852277,WCX8862,21.24,Length Overall,6.73,3.53,112,500,1989,La Force Shipyard Incorporated,Vessel Management Associates Incorporated,"1133 N Nimitz Highway, Honolulu, HI 96817-4522, United States",,,   ,Yes,23 Dec 2015
12414,,Marie M,United States,Longline,,,49,Honolulu,509968,,WX9744,20.02,Length Overall,6,3.13,83,365,1967,"Marine Mart, Incorporated",Viking V Incorporated,"309 Ilihau Street, Kailua, HI 96734, United States",,,   ,Yes,20 Apr 2007
12416,,Marine Star,United States,Longline,,,58,Honolulu,537893,7301570,WYZ6767,20.72,Length Overall,6.18,3.65,107,365,1972,"Marine Mart, Incorporated",Viking V Incorporated,"309 Ilihau Street, Kailua, HI 96734, United States",,,   ,Yes,20 Apr 2007
7401,,Mighty Joe,United States,Longline,145,,124,Honolulu,985031,8861644,WDD6511,24.87,Length Overall,7.62,3.2,112,525,1991,Russell Portier Boat Building,Mighty Joe Incorporated,"1552 Kalaepaa Drive, Honolulu, HI 96819-3007, United States",Sea Diamond II - Change to Mighty Joe notified on 29 Jun 2009 (recorded on 24 Sep 2009) - Flag at time of change: United States,,   ,No,01 Sep 2013
11257,,Mikette,United States,Longline,,,70,Anacortes,622875,8036976,WDE2331,25.81,Length Overall,6.55,3.5,129,540,1980,Michael R. Brown,"Mikette, LLC","6645 Rykosa Lane, Anacortes, WA 98221-4301, United States",Tucana - Change to Mikette notified on 29 Jun 2009 (recorded on 24 Sep 2009) - Flag at time of change: United States,,   ,Yes,09 Jun 2025
16369,,Miss Ellen,United States,Longline,,,18,Honolulu,612418,,WDI6845,20.42,Length Overall,6.4,2.62,73,425,1979,,"Dang-Ha Brother, LLC","1415 Punahou Street #301, Honolulu, HI 96822-4703, United States",,,   ,No,23 May 2017
7337,,Miss Julie,United States,Longline,27,,12,Honolulu,925847,8853269,WCW6964,20.93,Length Overall,6.73,3.26,102,405,1988,Master Boat Builders Incorporated,Miss Julie Incorporated,"4304 Likini Street, Honolulu, HI 96818, United States",,,   ,Yes,30 Oct 2014
12415,,Miss Myaa,United States,Longline,,,12,Honolulu,559485,7609386,WCQ7371,21.06,Length Overall,6.09,3.56,103,280,1974,Schully Bros Boat Building,"Capt T, LLC","504 N Nimitz Highway, Honolulu, HI 96817-5030, United States",Deborah Ann - Change to Miss Myaa notified on 25 Jan 2021 (recorded on 16 Feb 2021) - Flag at time of change: United States,,   ,Yes,16 Feb 2021
17094,,Miss Quinn,United States,Longline,,,,San Carlos,1094947,8960282,WEJ9341,22.55,Length Overall,6.55,3.04,96,475,2000,,"Fourth Andy, LLC","1449 Haloa Drive, Honolulu, HI 96818-1945, United States",,,   ,No,06 Apr 2018
13739,,Miss Rachel,United States,Longline,,,9,Honolulu,912433,,WDJ7988,20.11,Length Overall,6.24,2.43,65,250,1987,Blue's Boat Construction,"K A Fishing Company, Ltd.","98-711 Ewelani Street, Aiea, HI 96701, United States",Katherine II - Change to Miss Rachel notified on 13 Sep 2023 (recorded on 25 Sep 2023) - Flag at time of change: United States,,   ,No,25 Sep 2023
13740,,Miss Renee,United States,Longline,,,8,Honolulu,611010,,WDG3231,15.17,Length Overall,5.48,2.65,54,325,1979,,"Paradise Spirit, LLC","1628 Lehia Street, Honolulu, HI 96813, United States",Katherine Y - Change to Miss Renee notified on 03 Jul 2012 (recorded on 25 Sep 2012) - Flag at time of change: United States,,   ,No,30 Oct 2014
7365,,Miss Sadie,United States,Longline,27,,16,Honolulu,921769,8855607,WDN5263,22.86,Length Overall,6.4,2.89,91,350,1987,Phuoc Vi Lieu,"L & L Fishery, LLC","7461 Makaa St, Honolulu, HI 96825-3125, United States",Commander III - Change to Miss Sadie notified on 11 Feb 2025 (recorded on 03 Mar 2025) - Flag at time of change: United States,,   ,Yes,03 Mar 2025
18709,,Miss Sarah,United States,Longline,,,,,1329945,,WDN4430,,Type of Length Unknown,,,,,,,,,,,   ,No,21 Mar 2023
18062,,Miss Thuy Tien,United States,Longline,70,,,Honolulu,984166,8860341,WDK9166,23.46,Length Registered,6.7,3.65,123,540,1992,,,"1622 Pohaku Street, Honolulu, HI 96817, United States",,,   ,No,22 Dec 2019
12749,,Monique,United States,Longline,,,7,Fort Bragg,604312,,WDM8512,12.34,Length Overall,3.5,1.8,16,160,1978,Donald K Phillips,,"1320 Hatchery Road, Arcata, CA 95521, United States",,,   ,No,25 Sep 2023
17093,,Nahoa,United States,Longline,,,18,Honolulu,910157,,WDJ4715,22.79,Length Overall,6.7,2.59,84,503,1987,,"KD Fishery, LLC","504 North Nimitz Highway, Honolulu, HI 96817-5030, United States",,,   ,No,06 Apr 2018
7397,,Nahoa II,United States,Longline,27,,12,Honolulu,944388,8847844,WDH3493,23.89,Length Overall,7.34,3.13,120,660,1989,Russell Portier Boat Building,"Capt T, LLC","504 N Nimitz Highway, Honolulu, HI 96817-5030, United States",Capt. Millions I - Change to Nahoa II notified on 27 Feb 2023 (recorded on 21 Mar 2023) - Flag at time of change: United States,,   ,Yes,21 Mar 2023
15703,,New Horizon,United States,Longline,,,29,San Francisco,1110939,,WDM6383,25.35,Length Overall,7.62,4.05,149,720,2001,,Sea Queen II,"984 Cape Anita Pl, San Jose, CA 95133-1260, United States",Sea Queen II A - Change to New Horizon notified on 27 Feb 2023 (recorded on 21 Mar 2023) - Flag at time of change: United States,,   ,No,21 Mar 2023
13745,,Okay,United States,Longline,,,10,Honolulu,630817,,WDC2224,17.95,Length Overall,6.09,2.28,54,365,1980,Richard R. Berg,Okay Incorporated,"1936 Kuapapa Place Suite A, Honolulu, HI 96819-6011, United States",,,   ,No,24 Sep 2009
7389,,Pacific Diamond,United States,Longline,27,,12,Cut Off,939008,8885494,WDM6113,23.98,Length Overall,7.19,3.2,118,700,1989,Hung V. Le,JDF Corporation,"1133 N. Nimitz Hwy, Honolulu, HI 96817-4522, United States",Juliette - Change to Pacific Diamond notified on 20 Feb 2024 (recorded on 26 Feb 2024) - Flag at time of change: United States,,   ,Yes,26 Feb 2024
12401,,Pacific Dragon,United States,Longline,,,21,Honolulu,1021265,8956774,WDH9397,24.84,Length Overall,7.31,3.81,124,670,1994,Master Boat Builders Incorporated,LNK Fishery LLC,"1200 Queen Emma Street, Unit 3311, Honolulu, HI 96813, United States",Elizabeth - Change to Pacific Dragon notified on 27 Feb 2023 (recorded on 21 Mar 2023) - Flag at time of change: United States,,   ,Yes,21 Mar 2023
18723,,Pacific Dragon II,United States,Longline,,,18,,911863,,WDM4745,21.33,Length Registered,,,83,,1987,,,"757 Kinalau Place, Apt. 601, Honolulu, HI 96813, United States",,,   ,No,25 Sep 2023
6501,,Pacific Horizon,United States,Longline,74,,58,San Diego,627203,8133023,WDD4529,22.43,Length Overall,6.7,3.13,133,520,1980,St Augustine Trawlers Incorporated,,"1250 Santa Barbara Street, San Diego, CA 92107-3960, United States",,,   ,Yes,09 Feb 2016
7405,,Pacific Star,United States,Longline,108,,21,Honolulu,970935,8856194,WDC9440,24.99,Length Overall,7.31,3.35,108,365,1990,Russell Portier Boat Building,,"2349 Kula Kolea Drive, Honolulu, HI 96819, United States",,,   ,No,09 Feb 2016
12408,,Pacific Sun,United States,Longline,,,41,Seattle,615432,,WDB6251,17.83,Length Overall,5.79,2.74,75,365,1979,Wayne L. Rushworth,More Ahi Incorporated,"1131 N. Nimitz Highway, Honolulu, HI 96817, United States",,,   ,Yes,09 Feb 2016
7367,,Paradise 2001,United States,Longline,18,,14,Honolulu,1081225,,WDF3412,22.86,Length Overall,6.7,3.35,110,505,1988,Steiner Shipyard Incorporated,Dang Fishery Incorporated,"504 N. Nimitz Highway, Honolulu, HI 96817-5030, United States",,,   ,No,09 Feb 2016
7369,,Paradise 2002,United States,Longline,18,,14,Honolulu,1081227,8992443,WDF3629 ,22.86,Length Overall,6.7,3.35,110,402,1988,Steiner Shipyard Incorporated,Nguyen Fishery Incorporated,"1135 N. Nimitz Highway, Honolulu, HI 96817, United States",,,   ,No,09 Feb 2016
12409,,Pauline II,United States,Longline,,,33,Honolulu,598973,,WDJ6532,18.98,Length Overall,7.01,2.8,87,420,1978,Precision Eng & Mar Co Incorporated,"L & L Fishery, LLC","7461 Makaa St, Honolulu, HI 96825-3125, United States",Hokuao - Change to Pauline II notified on 27 Feb 2023 (recorded on 21 Mar 2023) - Flag at time of change: United States,,   ,Yes,21 Mar 2023
12565,,Princess Jasmine,United States,Longline,,,16,Honolulu,1048217,8940660,WDC5729,25.54,Length Overall,7.31,3.65,129,503,1996,T.M. Jemison Construction Company Incorporated,Dang Fishery Incorporated,"504 N. Nimitz Highway, Honolulu, HI 96817-5030, United States",,,   ,No,17 Jan 2008
12860,,Princess Jasmine II,United States,Longline,,,14,Honolulu,1050806,8940907,WDC5730,25.17,Length Overall,7.31,3.81,132,700,1997,J & J Marine Incorporated,Nguyen Fishery Incorporated,"1135 N. Nimitz Highway, Honolulu, HI 96817, United States",,,   ,No,17 Jan 2008
18740,,Princess Kaylee,United States,Longline,,,9,Honolulu,1036922,,WDM7662,22.37,Length Registered,6.7,3.65,102,,1995,,,"P.O. Box 97, Battle Ground, WA 98604-0097, United States",,,   ,No,25 Sep 2023
18077,,Princess Kelli,United States,Longline,,,108,Honolulu,1027010,8938796,WDK4266,22.67,Length Registered,7.01,3.71,106,550,1994,,,"P.O. Box 204, Honolulu, HI 96701, United States",,,   ,No,22 Dec 2019
17092,,Princess Pearla,United States,Longline,,,,Honolulu,945193,8885468,WDA4957,23.46,Length Overall,6.7,3.04,102,,1989,,"Lucky S.L.S, LLC","P.O. Box 240936, Honolulu, HI 96824, United States",,,   ,No,06 Apr 2018
14544,,Queen Alina,United States,Longline,,,16,Honolulu,1045268,,WDF3945,24.62,Length Overall,7.31,3.74,122,540,1996,,V & A Incorporated,"1210 Dillingham Blvd #15, Honolulu, HI 96817, United States",,,   ,No,03 Sep 2010
7429,,Queen Diamond,United States,Longline,27,,21,Honolulu,964927,,WDD2346,23.25,Length Overall,6.49,3.41,110,503,1990,La Force Shipyard Incorporated,Queen Diamond Incorporated,"2429 Kini Place, Honolulu, HI 96819, United States",,,   ,No,30 Oct 2014
12394,,Queen Diamond II,United States,Longline,,,21,Honolulu,949947,8852435,WAD5930,23.16,Length Overall,6.49,3.47,112,365,1989,La Force Shipyard Incorporated,"JBN Fishery, LLC","2429 Kini Place, Honolulu, HI 96819, United States",Miss Lisa - Change to Queen Diamond II notified on 15 Jul 2014 (recorded on 30 Oct 2014) - Flag at time of change: United States,,   ,Yes,30 Oct 2014
18745,,Queen Victoria,United States,Longline,,,,,1038671,,WDM7695,,Type of Length Unknown,,,,,,,,,,,   ,No,21 Mar 2023
1126,,Rainbows,United States,Longline,,,41,Honolulu,511130,7309431,WDK6055,20.87,Length Overall,6.73,3.44,92,420,1967,Toche Enterprise Incorporated,"Honolulu Rainbows, Inc.","901 River Street, Apt. 612, Honolulu, HI 96817-5322, United States",Princess K - Change to Rainbows notified on 27 Feb 2023 (recorded on 21 Mar 2023) - Flag at time of change: United States,,   ,No,21 Mar 2023
12397,,Rainbows I,United States,Longline,,,10,Honolulu,597552,,WDD2133,17.06,Length Overall,5.48,2.13,51,280,1978,Winston Williams,Christine N Incorporated,"501 N Nimitz Highway Pier 19, Honolulu, HI 96817-5928, United States",Christine N - Change to Rainbows I notified on 13 Sep 2023 (recorded on 25 Sep 2023) - Flag at time of change: United States,,   ,Yes,25 Sep 2023
15828,,Rising Phoenix,United States,Longline,,,14,Honolulu,615617,,WDH2941,22.64,Length Overall,6.7,3.38,99,402,1979,,"RS Fishery, LLC","504 N. Nimitz Highway, Honolulu, HI 96817-5030, United States",,,   ,No,09 Feb 2016
15826,,Rising Phoenix II,United States,Longline,,,16,Honolulu,1107128,,WDH3125,25.78,Length Overall,7.62,3.65,142,720,2000,,Dang Fishery Incorporated,"504 N. Nimitz Highway, Honolulu, HI 96817-5030, United States",,,   ,No,30 Oct 2014
13731,,Robin II,United States,Longline,,,8,Honolulu,907207,,WDF9642,18.89,Length Overall,5.63,2.74,63,360,1986,Quang Hon Nguyen,L.S. Fishing Incorporated,"508 Kunawai Lane, Honolulu, HI 96817, United States",Eclipse - Change to Robin II notified on 03 Jul 2012 (recorded on 25 Sep 2012) - Flag at time of change: United States,,   ,No,20 Sep 2009
12816,,Sapphire,United States,Longline,,,9,Honolulu,905883,,WDH6467,21.64,Length Overall,6.09,2.37,67,402,1986,Minh P. Tran,"Twin Nguyen Fishery, LLC","504 N Nimitz Highway, Honolulu, HI 96817-5030, United States",,,   ,No,09 Feb 2016
7375,,Sapphire II,United States,Longline,27,,12,Honolulu,926208,8863173,WDH6468,23.16,Length Overall,6.7,3.35,112,503,1987,Dam Tien Corporation,Sapphire II LLC,"504 N Nimitz Highway, Honolulu, HI 96817-5030, United States",Purple March - Change to Sapphire II notified on 08 Jun 2007 (recorded on 17 Jan 2008) - Flag at time of change: United States,,   ,No,09 Feb 2016
7411,,Sapphire III,United States,Longline,108,,9,Honolulu,964929,8847870,WDG2008,25.38,Length Overall,7.46,3.32,109,700,1990,Russell Portier Boat Building,H-N Fishery Incorporated,"504 N Nimitz Highway, Honolulu, HI 96817-5030, United States",Capt. Millions IV - Change to Sapphire III notified on 03 Jul 2012 (recorded on 25 Sep 2012) - Flag at time of change: United States,,   ,No,30 Oct 2014
15403,,Sea Angel,United States,Longline,,,16,Honolulu,1040833,,WDN7095,23.92,Length Overall,7.31,3.35,125,540,1996,,,"182 N. King Street, Honolulu, HI 96817, United States",Lady Jackie - Change to Sea Angel notified on 27 Feb 2023 (recorded on 21 Mar 2023) - Flag at time of change: United States,,   ,No,25 Sep 2023
13748,,Sea Diamond,United States,Longline,,,8,Seattle,910973,,WDD7243,21.64,Length Overall,6.7,2.59,80,365,1987,Fred Falgout,,"99-235 Aiea Heights Drive, Aiea, HI 96701, United States",,,   ,No,30 Oct 2014
7343,,Sea Dragon,United States,Longline,87,,16,Honolulu,916874,8852394,WDH3012,21.94,Length Overall,6.85,2.89,93,500,1988,National Fishermen's Cooperation Incorporated,"BB Bay, LLC","P.O. Box 295, Aiea, HI 96701-0295, United States",,,   ,Yes,30 Oct 2014
7363,,Sea Dragon II,United States,Longline,85,,36,Honolulu,1089137,8958411,WCZ5821,22.73,Length Overall,7.31,3.81,135,540,1999,Winston Williams,Sea Dragon II Incorporated,"4506 Luapele Place, Honolulu, HI 96818, United States",,,   ,Yes,30 Oct 2014
13749,,Sea Dragon III,United States,Longline,,,29,Honolulu,1051110,8941236,WDD4105,22.67,Length Overall,7.01,3.71,108,540,1997,Ocean Marine Incorporated,Sea Dragon II Incorporated,"4506 Luapele Place, Honolulu, HI 96818, United States",,,   ,No,30 Oct 2014
7423,,Sea Falcon,United States,Longline,132,,82,Lincoln City,649608,8851754,WDH6598,25.69,Length Overall,6.7,1.92,117,500,1982,Steiner Fabricators Incorporated,Nguyen Fishery Incorporated,"1135 N. Nimitz Highway, Honolulu, HI 96817, United States",,,   ,Yes,12 Jun 2019
7417,,Sea Goddess,United States,Longline,18,,21,Honolulu,929439,8855516,WDE8357,25.48,Length Overall,7.16,3.38,132,640,1988,Custom Vessel Fabricators,Capt. Washington I Incorporated,"1101 Kokea Street Apt. J301, Honolulu, HI 96827, United States",,,   ,Yes,30 Oct 2014
10291,,Sea Hawk,United States,Longline,93,,16,Honolulu,513575,,WDH9345,16.7,Length Overall,5.45,2.28,45,402,1968,"Rockport, Yacht & Supply",Nguyen Fishery Incorporated,"1135 N. Nimitz Highway, Honolulu, HI 96817, United States",Julie-Irene - Change to Sea Hawk notified on 29 Jul 2015 (recorded on 08 Feb 2016) - Flag at time of change: United States,,   ,Yes,09 Feb 2016
12399,,Sea Hunt,United States,Longline,,,62,Honolulu,1046666,8940220,WDC3196,23.68,Length Overall,7.31,3.81,122,671,1996,Master Boat Builders Incorporated,,"P.O. Box 1802, Newport, OR 97365-0129, United States",,,   ,Yes,03 Apr 2007
12396,,Sea Moon I,United States,Longline,,,12,Honolulu,927176,8854445,WDD3291,23.43,Length Overall,6.7,2.74,108,520,1987,Lee Guidry & Fred Falgout,"Sea Moon I, LLC","1847-A Makuahine Place, Honolulu, HI 96817, United States",,,   ,No,25 Sep 2009
7431,,Sea Pearl,United States,Longline,122,,82,Honolulu,982518,8856778,WDE5691,26.6,Length Overall,7.92,3.87,171,600,1991,Johnson Shipbuilding & Repair Company Incorporated,Vessel Management Associates Incorporated,"1133 N Nimitz Highway, Honolulu, HI 96817-4522, United States",,,   ,Yes,09 Feb 2016
13275,,Seaspray,United States,Longline,,,29,Honolulu,609841,,WDF8671,14.9,Length Overall,4.9,2.25,44,285,1979,,Fresh Island Fish Company Incorporated,"1135 N Nimitz Highway, Honolulu, HI 96813, United States",,,   ,No,30 Oct 2014
16073,,Second Andy,United States,Longline,,,16,Hawaii,1168403,,WDI2818,22.55,Length Registered,6.55,3.04,96,450,2005,,"Second Andy, LLC","4144 Keaka Drive, Honolulu, HI 96818, United States",,,   ,No,23 Dec 2015
18952,,Seeker 3,United States,Longline,,,14,,582101,,WDN8081,19.2,Length Registered,,,63,,1977,,,,,,   ,No,25 Sep 2023
13736,,Serenity,United States,Longline,,,21,Honolulu,916657,8855827,WDJ5013,27.85,Length Overall,7.31,3.77,180,671,1987,Linda Shipyard Company,,"2671 S King Street #301, Honolulu, HI 96826-3258, United States",Jaxon T - Change to Serenity notified on 27 Feb 2023 (recorded on 21 Mar 2023) - Flag at time of change: United States,,   ,No,21 Mar 2023
13747,,Seven Star,United States,Longline,,,16,Honolulu,593762,7828920,WDH8779,21.97,Length Overall,6.76,3.38,103,560,1978,S & R Boat Builders,Mikwang Incorporated,"1212 Nuuanu Avenue #2804, Honolulu, HI 96817, United States",Pan Am II - Change to Seven Star notified on 29 Jul 2015 (recorded on 09 Feb 2016) - Flag at time of change: United States,,   ,No,26 Feb 2024
12400,,Sky Moon,United States,Longline,,,12,Honolulu,559024,7609506,WDB7145,21.7,Length Overall,6.7,3.23,102,580,1974,Quality Marine Inc.,Kyung's Fishing Incorporated,"1628 Keeaumoku Street #705, Honolulu, HI 96822, United States",,,   ,Yes,03 Apr 2007
7435,,Southern Horizon,United States,Longline,159,,123,San Diego,1052597,8940995,WDE9588,27.24,Length Overall,7.31,3.93,171,575,1997,Johnson Shipbuilding & Repair Company Incorporated,,"1250 Santa Barbara Street, San Diego, CA 92107-3960, United States",Carolyn J - Change to Southern Horizon notified on 29 Jun 2009 (recorded on 31 Aug 2009) - Flag at time of change: United States,,   ,Yes,09 Feb 2016
12422,,St Damien,United States,Longline,2400,,,Honolulu,509600,,WDG7604,19.2,Length Overall,6.12,3.56,84,360,1967,,B-52 Incorporated,"1936 Kuapapa Place Suite A, Honolulu, HI 96819-6011, United States",Seven Star II - Change to St Damien notified on 28 Jun 2013 (recorded on 01 Sep 2013) - Flag at time of change: United States,,   ,Yes,09 Feb 2016
7357,,St Martin,United States,Longline,65,,16,Honolulu,689668,,WDF7256,22.55,Length Overall,6.7,2.89,98,503,1985,Ky Ronald Vu,"Tran Fishery, LLC","215 N King Stapt 1611, Honolulu, HI 96817-6708, United States",Hawaii Power - Change to St Martin notified on 28 Jun 2013 (recorded on 01 Sep 2013) - Flag at time of change: United States,,   ,No,30 Oct 2014
7341,,St Peter,United States,Longline,74,,14,Honolulu,911298,,WDF5798,21.94,Length Overall,6.7,2.59,82,503,1987,Russell Portier Boat Building,"RS Fishery, LLC","504 N. Nimitz Highway, Honolulu, HI 96817-5030, United States",Moonlight - Change to St Peter notified on 08 Jun 2007 (recorded on 17 Jan 2008) - Flag at time of change: United States,,   ,No,30 Oct 2014
